1,JUGO INCA MELON ,7798061000208,10,2.4,45.83,3.5,1,2016-07-14,0
2,JUGO INCA NARANJA,7798061000154,10,2.4,45.83,3.5,13,2016-07-14,0
3,JUGO INCA POMELO ROSADO,7798061000284,10,2.4,45.83,3.5,13,2016-07-14,0
4,JUGO INCA ANANA BANANA,7798061000222,10,2.4,45.83,3.5,14,2016-07-14,0
5,JUGO INCA LIMON ,7798061000185,10,2.4,45.83,3.5,11,2016-07-14,0
6,JUGO INCA MANDARINA,7798061000321,10,2.4,45.83,3.5,11,2016-07-14,0
7,JUGO INCA MANZANA,7798061000314,10,2.4,45.83,3.5,0,2016-07-14,0
8,JUGO INCA PERA,7798061000338,10,2.4,45.83,3.5,15,2016-07-14,0
9,JUGO INCA NARANJA BANANA ,7798061000307,10,2.4,45.83,3.5,0,2016-07-14,0
1,COCA COLA 2.25L ,7790895000997,10,35.83,31.17,47,3,2016-07-14,0
11,SECCO MULTIFRUTA 2.25L,7792758012291,10,16.16,42.33,23,0,2016-07-14,0
12,SECCO NARANJA 2.25L,7792758012239,10,16.16,42.33,23,8,2016-07-14,0
13,SECCO MANZANA 2.25L,7792758012284,10,16.16,42.33,23,9,2016-07-14,0
14,SECCO COLA 2.25L,7792758282212,10,16.16,42.33,23,4,2016-07-14,0
15,MANAOS MANZANA 2.25L,7798113300928,10,16.92,32.98,22.5,0,2016-07-14,0
16,MANAOS COLA 2.25L,7798113300010,10,16.66,35.05,22.5,4,2016-07-14,0
17,SIERRA DE LOS PADRES LIMON 1.5L,7798065730743,10,19.16,33,25.5,5,2016-07-14,0
18,SIERRA DE LOS PADRES MULTIFRUTA 1.5L ,7798065730651,10,19.16,33.09,25.5,1,2016-07-14,0
19,SIERRA DE LOS PADRES MANZANA 1.5L ,7798065730361,10,18.46,38,25.5,1,2016-07-14,0
20,MANAOS PLACER ANANA 1.5L ,7798113301185,10,13.33,35.03,18,0,2016-07-14,0
21,RETORNABLE VIDRIO FANTA 1.5L,7790895062971,10,23.13,38.35,32,5,2016-07-14,0
22,RETORNABLE VIDRIO SPRITE 1.5L,7790895062964,10,23.13,38.35,32,2,2016-07-14,0
23,RETORNABLE VIDRIO COCA COLA 1.5L,7790895005916,10,23.13,38.35,32,7,2016-07-14,0
24,VINO ESPUMANTE FREZZE BLUE EVOLUTION ,7791540042706,10,36.92,30,48,0,2016-07-14,0
25,KING NIGHT LICOR DE FRUTILLA 750CM3,7798134191796,10,26.92,30,35,1,2016-07-14,0
26,KING NIGHT LICOR MENTA 750CM3,7798134191390,10,26.92,30,35,1,2016-07-14,0
27,RON MULATA ORIGINAL BLANCO 750CM3 ,7798134191673,10,26.92,30,35,1,2016-07-14,0
28,VINO TINTO CRIA DE COSECHA CLASICO,7798107419803,10,33.33,30.51,43.5,5,2016-07-14,0
29,VINO TINTO CRIA DE COSECHA PATERO ,7798107412866,10,36.66,30.93,48,4,2016-07-14,0
30,VINO TINTO CABARCENO PATERO ,7795633003391,10,40,30,52,6,2016-07-14,0
31,VINO TINTO MICHEL TORINO AZUL,7791093000369,10,20.83,32.02,27.5,1,2016-07-14,0
32,VINO TINTO SANTA FILOMENA,7798008400665,10,30.76,30,40,3,2016-07-14,0
33,VINO TINTO VI헤S DE BALBO CLASICO ,7791843008294,10,40,30,52,8,2016-07-14,0
34,VINO TINTO DULCE QUERTOS ,7798114090194,10,35.39,29.98,46,0,2016-07-14,0
35,VINO TINTO DEMETRIUS MALBEC ,7798114092648,10,37.5,33.33,50,0,2016-07-14,0
36,FERNET COLA FERNANDO,7798015673489,10,10,30,13,3,2016-07-14,0
37,FERNET OTTONE 45CL ,7790163030169,10,33.07,30,43,1,2016-07-14,0
38,VODKA TRES FRONTERAS,7795767000426,10,11,36.36,15,4,2016-07-14,0
39,CA헤 CACHAPE ,7795767000020,10,25.83,35.5,35,6,2016-07-14,0
40,AGUA SIN GAS KIN,7790895000119,10,10,30,13,5,2016-07-14,0
41,SIDRA REAL 720ML,7790119001793,10,20.77,30,27,1,2016-07-14,0
42,VINO TINTO TALACASTO,7790036846262,10,27.41,31.34,36,16,2016-07-14,0
43,VINO TINTO PROMOCION,7798107410817,10,12.7,30,16.5,1,2016-07-14,0
44,CEPITA DURAZNO MIX ,7790895002991,10,7.5,33.33,10,5,2016-07-14,0
45,CEPITA MULTIFRUTA,7790895000737,10,7.5,33.33,10,5,2016-07-14,0
46,CEPITA NARANJA,7790895641596,10,7.5,33.33,10,13,2016-07-14,0
47,CEPITA NARANJA NUTRI DEFENSAS,7790895002977,10,7.29,30.32,9.5,0,2016-07-14,0
48,CEPITA MANZANA,7790895000720,10,7.5,33.33,10,5,2016-07-14,0
49,CEPITA DURAZNO MIX NUTRI DEFENSAS ,7790895003011,10,20.83,32.02,27.5,4,2016-07-14,0
50,CEPITA NARANJA,7790895064333,10,19,36.84,26,0,2016-07-14,0
51,VINO BLANCO TALACASTO ,7790036845265,10,19.61,30,25.5,0,2016-07-14,0
52,CERVEZA BUDWEISER,7793147001056,10,24.16,44.87,35,15,2016-07-15,0
53,CERVEZA BRAHMA,7792798007493,10,28,30.36,36.5,24,2016-07-15,0
54,LECHE ENTERA TREGAR,7793913001822,10,18.07,30.05,23.5,0,2016-07-15,0
55,ARVEJAS MOLTO CAJITA,7798138552838,10,8.5,35.29,11.5,0,2016-07-15,0
56,PICADILLO DE CARNE S&P,7798023696609,10,5,30,6.5,5,2016-07-15,0
57,ATUN DESMENUZADO EMETH,7791113004506,10,11.15,30,14.5,2,2016-07-15,0
58,ATUN DESMENUZADO EL DIQUE,7797470004838,10,10.38,30.06,13.5,0,2016-07-15,0
59,CABALLA EN ACEITE S&P ,7798023695756,10,31.15,30,40.5,0,2016-07-15,0
60,PURE DE TOMATE SABORES,7798156760062,10,10,30,13,4,2016-07-15,0
61,PURE DE TOMATE S&P ,7798023690379,10,8.84,30.09,11.5,0,2016-07-15,0
62,ARVEJAS PARTIDAS,7795552000105,10,13.84,30.06,18,3,2016-07-15,0
63,LENTEJAS LA PINGUINA,7795552000334,10,16,31.25,21,0,2016-07-15,0
64,POROTOS NEGROS SUSTENTO,7798033320105,10,10,30,13,1,2016-07-15,0
65,MAIZ PISINGALLO SUSTENTO ,7798033320174,10,7.5,33.33,10,5,2016-07-15,0
66,MAIZ PISADO BLANCO ,7798033320211,10,10,30,13,2,2016-07-15,0
67,ARROZ LARGO FINO,7797303000075,10,12,33.33,16,4,2016-07-15,0
68,POLENTA MAGICA QUAKER ,7792170007196,10,12.69,30,16.5,1,2016-07-15,0
69,POLENTA PARA PREPARAR ,7797303000013,10,9.5,36.84,13,0,2016-07-15,0
70,CALDO VERDURA WILDE,7794000597792,10,2.7,48.15,4,10,2016-07-15,0
71,LEVADURA INSTANTANEA NATURAL,7798018850184,10,10,30,13,12,2016-07-15,0
72,CANELA EN RAMA ALICANTE,7790150034040,10,8.46,30,11,2,2016-07-15,0
73,ESPECIAS SURTIDAS MOLIDAS,7790150047057,10,5.38,30.11,7,5,2016-07-15,0
74,VINAGRE DE ALCOHOL ,7797470132692,10,7.3,30.14,9.5,5,2016-07-15,0
75,MAYONESA FIESTA ,7791620002279,10,10,30,13,0,2016-07-15,0
76,MAYONESA BC,7793360674310,10,5.75,30.43,7.5,14,2016-07-15,0
77,MAYONESA BC GRANDE ,7793360674204,10,11.5,30.43,15,4,2016-07-15,0
78,YERBA MATE YOLAVI,7790480000043,10,30,33.33,40,1,2016-07-15,0
79,CALDO DE VERDURAS KNORR,7794000597662,10,2.69,30,3.5,0,2016-07-15,0
80,FIDEO TALLARIN FAVORITA,7790070320292,10,7.5,33.33,10,9,2016-07-15,0
81,FIDEO TALLARIN CANALE ,7794910056600,10,7,42.86,10,2,2016-07-15,0
82,FIDEO TIRABUZON FAVORITA ,7790070320308,10,7.5,33.33,10,7,2016-07-15,0
83,FIDEO CODO RAYADO,7790070320322,10,7.5,33.33,10,4,2016-07-15,0
84,FIDEO DEDALES,7798031151084,10,7.69,30,10,1,2016-07-15,0
85,FIDEO MOSTACHOL RAYADO,7798138552326,10,9.61,30.07,12.5,4,2016-07-15,0
86,FIDEO TIRABUZON MOLTO ,7798138552364,10,9.61,30,12.5,0,2016-07-15,0
87,CHOCOLINO LA VIRGINIA ,7790150830857,10,14.5,31.03,19,5,2016-07-15,0
88,TODDY EXTREMO,7798153810494,10,12.3,30.08,16,0,2016-07-15,0
89,GIRASOL TOSTADO Y SALADO ,7798073621071,10,2.4,45.83,3.5,21,2016-07-15,0
90,GALLETITAS MANA LIVIANAS ,7790040720206,10,9.23,30,12,0,2016-07-15,0
91,GALLETITA DE COCO,7798080660711,10,16.92,30,22,0,2016-07-15,0
92,GALLETITA SURTIDO FAUNA,7790628102714,10,7,35.71,9.5,0,2016-07-15,0
93,GALLETITA SURTIDO BAGLEY ,7790040929609,10,16.92,30,22,0,2016-07-15,0
94,OBLEA PEDUA,7896011103709,10,9.23,30,12,0,2016-07-15,0
95,OBLEA OBLITA CH ,7793123160012,10,4.5,33.33,6,1,2016-07-15,0
96,GALLETITA POLVORITAAZUL,7790040314009,10,4.5,33.33,6,2,2016-07-15,0
97,GALLETITA POLVORITA ROJA ,7790040314108,10,4,50,6,0,2016-07-15,0
98,GALLETITA KARITAS TINCHO ,7798073621033,10,2.69,30,3.5,0,2016-07-15,0
99,GALLETITA 9 DE ORO ,7792200000319,10,9,33.33,12,2,2016-07-15,0
100,GALLETITAS FESTIVA ,7798102500889,10,10.5,33.33,14,3,2016-07-15,0
101,GALLETITAS PEPAS VALIDO,7798080660667,10,6.92,30,9,1,2016-07-15,0
102,GALLETITAS PEPAS MEMBRILLO,7790040740006,10,10,30,13,0,2016-07-15,0
103,GALLETITA SURTIDA DESFILE,7790040262102,10,17.5,34,23.5,4,2016-07-15,0
104,GALLETITAS PEPAS BATATA,7792153000275,10,14.23,30,18.5,0,2016-07-15,0
105,GALLETITA PEPAS MEMBRILLO,7792153000251,10,14.23,30,18.5,0,2016-07-15,0
106,GALLETITAS SURTIDAS DIVERSION,7790040711105,10,21,30.95,27.5,6,2016-07-15,0
107,ACEITE ALSAMAR,7794870000293,10,23,30.43,30,9,2016-07-15,0
108,ACEITE VALDEREY ,7794870000057,10,24,31.25,31.5,0,2016-07-15,0
109,FECULA DE MANDIOCA ,7798086060010,10,17,35.29,23,11,2016-07-15,0
110,SAL FINA COLOSAL,7790641000011,10,4.5,33.33,6,9,2016-07-15,0
111,SAL ENTREFINA COLOSAL ,7790641000080,10,8,31.25,10.5,6,2016-07-15,0
112,DULCE DE LECHE SANTA MARIA,7792308000259,10,18.5,29.73,24,3,2016-07-15,0
113,DULCE DE DAMASCO EMETH,7791113003417,10,11.53,30.1,15,2,2016-07-15,0
114,DULCE DE DURAZNO EMETH,7791113003356,10,11.53,30.1,15,1,2016-07-15,0
115,DULCE DE CIRUELA EMETH,7791113004056,10,11.53,30.1,15,1,2016-07-15,0
116,DULCE DE MEMBRILLO EMETH ,7791113001567,10,13.84,30.06,18,2,2016-07-15,0
117,DULCE DE BATATA EMETH ,7791113001543,10,15,30,19.5,3,2016-07-15,0
118,HARINA 000 FLORENCIA,7797237000028,10,10,30,13,0,2016-07-15,0
119,HARINA 0000 REINHARINA,7794270000602,10,11,31.82,14.5,1,2016-07-15,0
120,PROVENZAL DESHIDRATADO,7791584000229,10,4.61,30.15,6,4,2016-07-15,0
121,OREGANO DESHIDRATADO,7791584000250,10,4.61,30.15,6,3,2016-07-15,0
122,SALSA LISTANOEL,7795184946710,10,13.5,33.33,18,4,2016-07-15,0
123,SALSA LISTA PIZZA,7794000598881,10,13.46,30,17.5,0,2016-07-15,0
124,CAFE CLASICO INSTANTANEO ,7790150100646,10,19.23,30,25,3,2016-07-15,0
125,EXQUISITA CHOCOLATE,7790070410146,10,31.15,30,40.5,0,2016-07-15,0
126,TE MANZANILLA,7790150330135,10,11.53,30.1,15,2,2016-07-15,0
127,TE EN SAQUITOS MAROLIO,7797470007228,10,4.61,30.15,6,1,2016-07-15,0
128,TE EN SAQUITOS MAROLIO,7797470001936,10,7.69,30,10,6,2016-07-15,0
129,TE BOLDO LA VIRGINIA,7790150310137,10,11.53,30.1,15,3,2016-07-15,0
130,MATE COCIDO TARAGUI,7790387000849,10,9.23,30,12,3,2016-07-15,0
131,SHAMPOO CONTROL CASPA ,7506295355052,10,2.69,30,3.5,22,2016-07-15,0
132,ACONDICIONADOR PANTENE,7506339347241,10,2.69,30,3.5,8,2016-07-15,0
133,ACONDICIONADOR PANTENE,7506309877822,10,28.07,30.03,36.5,5,2016-07-15,0
134,ACONDICIONADOR PANTENE,7506309840567,10,28.46,30,37,0,2016-07-15,0
135,SHAMPOO PANTENE ,7506309877914,10,34.61,30.02,45,2,2016-07-15,0
136,ACONDICIONADOR HERBAL ,7501006736670,10,32.3,30.03,42,2,2016-07-15,0
137,DESODORANTE STONE,7798045210142,10,29.23,30,38,0,2016-07-15,0
138,ANTITRANSPIRANTE OLD,7506339390254,10,46.92,30,61,1,2016-07-15,0
139,ANTITRANSPIRANTE OLD,7506309898889,10,46.92,30,61,1,2016-07-15,0
140,DESODORANTE REXONA ,7791293026909,10,22.3,30.04,29,0,2016-07-15,0
141,ANTITRANSPIRANTE PLUSBELLE,77948632 ,10,21.53,30.05,28,1,2016-07-15,0
142,ANTITRANSPIRANTE PLUSBELLE,77948601 ,10,21.53,30.05,28,1,2016-07-15,0
143,ANTITRANSPIRANTE VERITAS ,7791520024326,10,14.61,30.05,19,1,2016-07-15,0
144,ANTITRANSPIRANTE AVON ,7790829006293,10,18.46,30,24,1,2016-07-15,0
145,ANTITRANSPIRANTE AVON ,7790829006460,10,18.46,30,24,0,2016-07-15,0
146,ANTITRANSPIRANTE AVON ,7909189001620,10,18.46,30,24,2,2016-07-15,0
147,ANTITRANSPIRANTE AVON ,7790829007993,10,18.46,30,24,0,2016-07-15,0
148,ANTITRANSPIRANTE AVON ,7790829006194,10,18.46,30,24,1,2016-07-15,0
149,ESPUMA DE AFEITAR GILLETTE,7702018951185,10,14.23,30,18.5,1,2016-07-15,0
150,SOFT COLOR WELLA,7896016104947,10,40.76,30.03,53,1,2016-07-15,0
151,ESMALTE U헤S ZEIMOR,7840508017376,10,11.53,30.1,15,0,2016-07-15,0
152,ESMALTE U헤S CAREY ,7840508025555,10,11.53,30.1,15,0,2016-07-15,0
153,ESMALTE U헤S FLYCOLOR ,7840285500009,10,11.53,30.1,15,1,2016-07-15,0
154,QUITAESMALTE ALGABO,7791274000591,10,11.53,30.1,15,0,2016-07-15,0
155,PASTA DENTAL ORAL-B,7506195131640,10,16.92,30,22,1,2016-07-15,0
156,CREMA DENTAL COLGATE,7891024132906,10,13.5,33.33,18,5,2016-07-15,0
157,CREMA DENTAL FRESH-DENT,7791199002458,10,13.84,30.06,18,0,2016-07-15,0
158,JABON TOCADOR,7798060460225,10,11.15,30,14.5,0,2016-07-15,0
159,CIF CREMA ,7791290008489,10,16.92,30,22,0,2016-07-15,0
160,LAVAVAJILLA GIGANTE,7790828102491,10,14.5,31.03,19,2,2016-07-15,0
161,LAVAVAJILLA ALA PLUS,7791290012394,10,16.92,30,22,0,2016-07-15,0
162,LAVAVAJILLA ALA PLUS,7791290012455,10,16.92,30,22,0,2016-07-15,0
163,LAVAVAJILLA ALA PLUS,7791290012387,10,16.5,33.33,22,2,2016-07-15,0
164,LAVAVAJILLA ALA PLUS,7791290012448,10,16.92,30,22,0,2016-07-15,0
165,LIQUIDO PARA LAVAR ROPA,7500435004718,10,40.76,30.03,53,0,2016-07-15,0
166,LIQUIDO PARA LAVAR ROPA,7798023697002,10,28.07,30.03,36.5,0,2016-07-15,0
167,LIMPIADOR LIQUIDO BONUX LIMON,7798023696166,10,14.61,30.05,19,2,2016-07-15,0
168,LIMPIADOR LIQUIDO BONUX LAVANDA,7798023696159,10,14.61,30.05,19,0,2016-07-15,0
169,LIMPIADOR LIQUIDO GIGANTE,7790828102064,10,14.61,30.05,19,0,2016-07-15,0
170,LIMPIADOR LIQUIDO PROCENEX,7791130683661,10,14.5,31.03,19,3,2016-07-15,0
171,ALA MULTIACCION ,7791290011755,10,18.07,30.05,23.5,6,2016-07-15,0
172,ALA CON VIVERE,7791290011960,10,17.5,34.29,23.5,0,2016-07-15,0
173,ALA MULTIACCION MATIC ,7791290011700,10,18.07,30.05,23.5,5,2016-07-15,0
174,LAVANDINA AYUDIN,7793253001070,10,13.84,30.06,18,0,2016-07-15,0
175,LAVANDINA ESENCIAL ,7797470130162,10,10.76,30.11,14,0,2016-07-15,0
176,LAVANDINA AYUDIN,7793253000639,10,16.92,30,22,0,2016-07-15,0
177,JABON BONUX,7798023696630,10,6.53,30.17,8.5,0,2016-07-15,0
178,JABON ARGENTINO ,7794218106328,10,6.53,30.17,8.5,0,2016-07-15,0
179,OFF! FAMILY,77900302 ,10,20,30,26,9,2016-07-15,0
180,TERMO INVICTA,7891691002052,10,76.92,30,100,1,2016-07-15,0
181,TERMO TEKTHERMO ATACAMA,7896021911332,10,100,30,130,1,2016-07-15,0
182,VINO TINTO UVITA,7790036046327,10,20.76,30.06,27,0,2016-07-15,0
183,HARINA 0000 LA TERESINA,7798141970025,10,12,33.33,16,9,2016-07-15,0
184,LAVANDINA AYUDIN,7793253001353,10,11,59.09,17.5,1,2016-07-15,0
185,ALCOHOL ETILICO ,7792378001682,10,17,29.41,22,1,2016-07-15,0
186,CIF CREMA ,7791290008007,10,15.5,35.48,21,1,2016-07-15,0
187,LAVAVAJILLA MAGISTRAL LIMON ,7500435019224,10,22,36.36,30,0,2016-07-15,0
188,LAVAVAJILLA MAGISTRAL MARINA,7500435023115,10,22,36.36,30,1,2016-07-15,0
189,LECHE ENTERA COTAPA,7790373104513,10,18.33,30.93,24,3,2016-07-15,0
190,YERBA MATE YOLAVI1/2,7790480000036,10,19,31.58,25,4,2016-07-15,0
191,AZUCAR LA MU헨CA,7798106640017,10,11,31.82,14.5,8,2016-07-15,0
192,CLUB SOCIAL ORIGINAL,7622300834883,10,9,33.33,12,0,2016-07-15,0
193,GALLETITAS PEPAS VALIDO 500GR,7798080660674,10,14.5,37.93,20,3,2016-07-15,0
194,GALLETITAS SERRANAS,7790040704800,10,6,33.33,8,0,2016-07-15,0
195,GALLETITA MEDIALUNITAS,7790040218109,10,9,33.33,12,0,2016-07-15,0
196,VELAS BUX ,7798130560350,10,5.5,36.36,7.5,5,2016-07-15,0
197,JABON TOCADOR LUX,7791293025988,10,10,30,13,2,2016-07-15,0
198,JABON TOCADOR LUX,7791293025995,10,10,30,13,0,2016-07-15,0
199,GILLETTE PRESTOBARBA,7501009222729,10,12.69,30,16.5,0,2016-07-15,0
200,MAQUINA DESECHABLES,77011107 ,10,7.69,30,10,3,2016-07-15,0
201,SUPRABOND ADHESIVO ,7793300423565,10,13.46,30,17.5,0,2016-07-15,0
202,PILAS DURACELL AAA ,7506309875347,10,15.38,30.04,20,4,2016-07-15,0
203,ALFAJOR TINCHO,7798073620272,10,1.92,30,2.5,0,2016-07-15,0
204,ALFAJOR SUPER TINCHO,7798073620685,10,3.25,38.46,4.5,0,2016-07-15,0
205,ALFAJOR MINYO,77917157 ,10,3.07,30.29,4,0,2016-07-15,0
206,PAPEL HIGIENICO VUALX1 ,7798130888614,10,5.25,42.86,7.5,12,2016-07-15,0
207,PAPEL HIGIENICO VUALX6 ,7791818007383,10,25,32,33,1,2016-07-15,0
208,PAPEL HIGIENICO HIGIENOL ,7790250014911,10,25.38,30.02,33,0,2016-07-15,0
209,ROLLO DE COCINA VUAL,7791818001718,10,18,33.33,24,2,2016-07-15,0
210,LANA DE ACERO BATUQUE ,7798059380268,10,3.84,56.25,6,6,2016-07-15,0
211,PA헤LES PAMPERS XG ,7506339392777,10,28.84,30.03,37.5,0,2016-07-15,0
212,ESPONJA VIRULANA,7794440003303,10,5.76,30.21,7.5,1,2016-07-15,0
213,ESPONJA MISTER BRILLO ,7798126372875,10,4.61,30.15,6,1,2016-07-15,0
214,TRAPO REJILLA PABILO,7795935000012,10,6.92,30,9,2,2016-07-15,0
215,TRAPO DE PISO MISTER TRAPO,7798024452600,10,11.5,30.43,15,3,2016-07-15,0
